show_id,type,title,director,cast_members,country,date_added,release_year,rating,duration,listed_in,description
s28,TV Show,House Empire,,"Fatima Nair, Rahul Nair",Nigeria,"May 05, 2021",2023,TV-14,4 Seasons,"Action & Adventure, Romantic Movies, Reality TV",Follow the lives of a group of detectives as they navigate personal crises.
s29,Movie,Golden Chronicles,David Kim,"Noah Reddy, Priya Nair, Rahul Nair, Arjun Muller, Elena Smith","Brazil, Canada","December 28, 2018",1999,NC-17,82 min,"International Movies, Action & Adventure, Sci-Fi & Fantasy",A gripping story about hope set against the backdrop of a small town.
s30,TV Show,Age Empire,Ana Silva,"Elena Diallo, Priya Nair, Kenji Smith, Wei Rossi","Spain, France, Australia","September 29, 2022",2016,TV-MA,4 Seasons,"Documentaries, Kids' TV",Follow the lives of rival gangs as they navigate high-stakes competition.
s31,Movie,Hidden Harbor,Carlos Mendes,"Olivia Petrov, Aisha Novak, Priya Wilson, Carlos Rahman",India,"June 30, 2019",1998,TV-14,164 min,"Action & Adventure, Horror Movies",A gripping story about revenge set against the backdrop of a bustling city.
s32,Movie,Endless Horizon,James Cooper,"Isabella Kapoor, Ivan Wilson, Liam Chen, Fatima Chen","Nigeria, United States, India","May 15, 2023",2022,NC-17,109 min,"International Movies, Music & Musicals",A gripping story about justice set against the backdrop of a distant future.
s33,Movie,Burning Garden,Laura Muller,"Carlos Reddy, Sophia Diallo, Fatima Silva, Elena Johnson",Mexico,"June 06, 2020",2006,R,109 min,"Comedies, Stand-Up Comedy",A gripping story about ambition set against the backdrop of a distant future.
s34,TV Show,The Court,Emma Clarke,"Olivia Rahman, Amara Kobayashi, Isabella Novak","Italy, Germany, United Kingdom","April 18, 2018",2015,TV-14,6 Seasons,"Action & Adventure, Reality TV, Thrillers",Follow the lives of a group of friends as they navigate high-stakes competition.
s35,Movie,Wild Echo,Miguel Torres,"Diego Torres, Meera Nair, Olivia Petrov, Aisha Brown, Ivan Nair","India, Australia, Canada","January 06, 2022",2005,PG-13,169 min,"Sci-Fi & Fantasy, Comedies",A gripping story about survival set against the backdrop of a bustling city.
s36,Movie,Sacred Legacy,Yuki Tanaka,"Meera Kapoor, Rahul Chen, Meera Smith, Aisha Muller","France, United Kingdom, Mexico","December 15, 2019",2014,NC-17,132 min,"Kids' TV, Dramas, Comedies",A gripping story about betrayal set against the backdrop of a war-torn nation.
s37,Movie,Last Signal,Tom Wilson,"Liam Singh, Arjun Khan",Egypt,"January 27, 2022",2018,PG-13,77 min,Reality TV,A gripping story about survival set against the backdrop of a small town.
s38,TV Show,Case Squad,Michael Brown,"Wei Brown, Kenji Khan, Priya Smith, Sophia Rossi, Diego Reddy",Brazil,"May 15, 2017",2014,TV-Y7,3 Seasons,"Anime Series, Kids' TV, Romantic Movies",Follow the lives of a group of detectives as they navigate high-stakes competition.
s39,TV Show,World Detectives,Rajesh Kumar,"Sophia Kapoor, Olivia Rahman","United Kingdom, Mexico, United States","November 02, 2016",2008,TV-G,4 Seasons,"Kids' TV, Music & Musicals",Follow the lives of a group of friends as they navigate a changing world.
s40,TV Show,House Republic,Rajesh Kumar,"Hana Singh, Isabella Muller, Diego Johnson, Ivan Brown","Spain, Italy, Egypt","October 19, 2015",2014,TV-G,4 Seasons,"Kids' TV, Comedies",Follow the lives of a group of friends as they navigate dangerous secrets.
s41,Movie,Burning Empire,Miguel Torres,"Liam Singh, Elena Brown, Liam Rossi",Japan,"February 12, 2018",2009,TV-G,143 min,"Action & Adventure, Romantic Movies",A gripping story about revenge set against the backdrop of a bustling city.
s42,TV Show,Life Squad,Aarav Mehta,"Ivan Kobayashi, Diego Garcia, Priya Rossi, Ivan Brown",Mexico,"February 16, 2021",2016,PG-13,2 Seasons,"Dramas, International Movies",Follow the lives of a group of detectives as they navigate personal crises.
s43,Movie,Frozen Path,Ravi Shah,"Amara Singh, Hana Kapoor",Canada,"April 16, 2022",2006,TV-14,176 min,Anime Series,A gripping story about love set against the backdrop of a bustling city.
s44,TV Show,Case Doctors,,"Amara Garcia, Diego Rahman, Hana Petrov, Hana Nair",United Kingdom,"May 24, 2024",2005,R,2 Seasons,Thrillers,Follow the lives of a group of detectives as they navigate dangerous secrets.
s45,Movie,Golden Journey,James Cooper,"Ivan Petrov, Amara Chen, Hana Rossi, Hana Silva","Australia, Japan","February 18, 2017",2014,TV-14,100 min,Sci-Fi & Fantasy,A gripping story about hope set against the backdrop of a distant future.
s46,TV Show,Files Squad,Wong Kar Lin,"Wei Singh, Olivia Nair, Aisha Smith, Isabella Kapoor, Hana Silva",United States,"April 27, 2017",2006,TV-PG,4 Seasons,"Comedies, Horror Movies",Follow the lives of a group of detectives as they navigate a changing world.
s47,Movie,Endless Kingdom,Nina Petrova,"Diego Chen, Kenji Chen, Hana Wilson",Mexico,"April 18, 2021",2020,NC-17,110 min,"Reality TV, Crime TV Shows",A gripping story about hope set against the backdrop of the high seas.
s48,Movie,Golden Empire,Priya Sharma,"Liam Smith, Priya Nair, Diego Petrov, Lucas Wilson","Australia, Mexico","June 18, 2015",1999,TV-G,117 min,"Romantic Movies, Crime TV Shows",A gripping story about justice set against the backdrop of the high seas.
s49,Movie,Endless City,Ana Silva,"Amara Novak, Ivan Wilson, Amara Nair, Meera Garcia, Aisha Diallo","Italy, India, Egypt","August 16, 2023",2000,PG-13,127 min,"Action & Adventure, Sci-Fi & Fantasy",A gripping story about love set against the backdrop of the high seas.
s50,Movie,Hidden Empire,Aarav Mehta,"Diego Diallo, Rahul Brown","Brazil, United Kingdom","July 17, 2024",2007,NC-17,142 min,"Thrillers, Documentaries, Anime Series",A gripping story about betrayal set against the backdrop of a distant future.
s51,Movie,Burning River,Rajesh Kumar,"Elena Chen, Priya Khan, Sophia Singh, Elena Rahman, Olivia Wilson",Italy,"June 24, 2021",2001,PG,104 min,"Anime Series, Action & Adventure",A gripping story about justice set against the backdrop of the high seas.
s52,Movie,Broken Echo,Rajesh Kumar,"Elena Singh, Rahul Kobayashi, Sophia Khan",Nigeria,"August 24, 2023",2005,TV-PG,76 min,Kids' TV,A gripping story about survival set against the backdrop of a forgotten era.
s53,Movie,Distant Valley,Ahmed Hassan,"Elena Wilson, Liam Brown","Canada, France, Nigeria","July 10, 2021",2012,PG,171 min,"Kids' TV, Music & Musicals, Romantic Movies",A gripping story about hope set against the backdrop of a war-torn nation.
s54,Movie,Lost Empire,Aarav Mehta,"Liam Smith, Hana Torres, Rahul Nair, Wei Smith, Aisha Johnson",France,"January 01, 2022",1999,TV-Y,131 min,"International Movies, Crime TV Shows",A gripping story about family set against the backdrop of a forgotten era.
s55,Movie,Broken Signal,Fatima Noor,"Arjun Muller, Fatima Torres, Lucas Rahman, Olivia Novak, Lucas Johnson","Canada, United Kingdom","March 12, 2019",2001,TV-PG,107 min,Crime TV Shows,A gripping story about revenge set against the backdrop of a forgotten era.
s56,Movie,Quiet Journey,Yuki Tanaka,"Noah Smith, Olivia Rahman, Ivan Rossi","Egypt, Italy","May 13, 2019",1998,NC-17,96 min,"International Movies, Anime Series",A gripping story about survival set against the backdrop of a war-torn nation.
s57,Movie,Burning Chronicles,Nina Petrova,"Ivan Kobayashi, Liam Novak, Lucas Torres, Sophia Silva","Australia, United States","February 01, 2020",2002,TV-PG,91 min,"Horror Movies, Crime TV Shows, Dramas",A gripping story about justice set against the backdrop of a war-torn nation.
s58,Movie,Eternal Harbor,Emma Clarke,"Hana Johnson, Arjun Nair, Olivia Torres",Mexico,"October 10, 2016",2006,R,140 min,Kids' TV,A gripping story about hope set against the backdrop of a small town.
s59,Movie,Last Fortress,Tom Wilson,"Aisha Johnson, Aisha Muller, Hana Nair",Mexico,"February 26, 2019",2011,PG-13,145 min,"Horror Movies, Documentaries, Romantic Movies",A gripping story about betrayal set against the backdrop of a war-torn nation.
s60,Movie,Last Chronicles,Miguel Torres,"Fatima Diallo, Hana Diallo, Olivia Chen, Fatima Kobayashi, Aisha Rahman",South Korea,"June 10, 2024",2002,TV-G,143 min,Stand-Up Comedy,A gripping story about revenge set against the backdrop of a small town.
s61,Movie,Forgotten Path,Nina Petrova,"Rahul Khan, Amara Kobayashi, Aisha Chen, Meera Garcia, Noah Novak",Japan,"January 23, 2017",2021,NC-17,92 min,"Documentaries, Stand-Up Comedy, Music & Musicals",A gripping story about family set against the backdrop of a war-torn nation.
s62,Movie,Golden Journey,Yuki Tanaka,"Lucas Diallo, Diego Brown, Diego Johnson, Noah Muller","Brazil, India","September 15, 2021",2017,TV-MA,165 min,"Reality TV, Romantic Movies, Crime TV Shows",A gripping story about family set against the backdrop of a small town.
s63,Movie,Frozen Dream,Yuki Tanaka,"Arjun Rossi, Sophia Singh, Aisha Nair",India,"February 18, 2016",2002,TV-Y,105 min,Horror Movies,A gripping story about love set against the backdrop of a bustling city.
s64,TV Show,Files Sisters,,"Rahul Muller, Noah Wilson, Elena Diallo, Meera Novak, Rahul Rossi",India,"February 24, 2020",2007,TV-G,7 Seasons,"Comedies, Stand-Up Comedy, Horror Movies",Follow the lives of a medical team as they navigate a changing world.
s65,Movie,Shadow Echo,Laura Muller,"Carlos Muller, Sophia Diallo, Liam Petrov, Arjun Silva, Fatima Garcia",Canada,"February 18, 2020",2016,TV-14,124 min,"Sci-Fi & Fantasy, Stand-Up Comedy",A gripping story about justice set against the backdrop of the high seas.
s66,Movie,Broken Signal,Rajesh Kumar,"Carlos Rossi, Lucas Nair",Germany,"March 25, 2017",1999,NC-17,73 min,"Documentaries, Horror Movies, Crime TV Shows",A gripping story about family set against the backdrop of a small town.
s67,Movie,Sacred Echo,Wong Kar Lin,"Carlos Khan, Aisha Reddy, Noah Brown, Amara Chen","Japan, Nigeria, Mexico","December 13, 2016",2021,TV-Y,108 min,"International Movies, Kids' TV",A gripping story about love set against the backdrop of a distant future.
s68,TV Show,Files Squad,,"Wei Reddy, Rahul Khan, Ivan Torres","United Kingdom, Australia, India","June 20, 2020",2009,PG,2 Seasons,"Romantic Movies, Sci-Fi & Fantasy",Follow the lives of a group of detectives as they navigate political intrigue.
s69,Movie,Broken Dream,James Cooper,"Fatima Nair, Carlos Singh, Priya Khan, Wei Silva","South Korea, Germany","February 25, 2018",2016,TV-Y,158 min,"Romantic Movies, Reality TV",A gripping story about family set against the backdrop of a distant future.
s70,Movie,Silent Valley,Tom Wilson,"Olivia Smith, Fatima Muller","Italy, Germany","August 26, 2016",2001,TV-Y7,161 min,Music & Musicals,A gripping story about ambition set against the backdrop of a forgotten era.
s71,Movie,Burning City,James Cooper,"Ivan Smith, Liam Torres, Aisha Khan, Wei Reddy, Hana Novak","Nigeria, Germany","November 12, 2018",2000,TV-PG,109 min,"Anime Series, Action & Adventure",A gripping story about hope set against the backdrop of the high seas.
s72,Movie,Wild Dream,James Cooper,"Sophia Torres, Amara Rossi",Australia,"March 18, 2020",2014,NC-17,129 min,"Anime Series, Horror Movies",A gripping story about hope set against the backdrop of the high seas.
s73,Movie,Forgotten Horizon,Aarav Mehta,"Meera Khan, Isabella Smith","United States, India","April 17, 2020",2021,TV-MA,97 min,"International Movies, Action & Adventure",A gripping story about survival set against the backdrop of a war-torn nation.
s74,Movie,Silent River,Michael Brown,"Carlos Diallo, Elena Garcia, Lucas Brown, Liam Muller",United Kingdom,"January 04, 2022",2003,R,90 min,Kids' TV,A gripping story about survival set against the backdrop of the high seas.
s75,Movie,Silent Empire,David Kim,"Isabella Diallo, Wei Kobayashi, Elena Johnson",India,"July 21, 2023",2001,R,143 min,"Anime Series, International Movies",A gripping story about love set against the backdrop of the high seas.
s76,Movie,Rising Garden,David Kim,"Priya Novak, Noah Novak, Meera Singh",United Kingdom,"January 01, 2023",2022,PG,88 min,"Kids' TV, Horror Movies, Action & Adventure",A gripping story about survival set against the backdrop of a distant future.
s77,Movie,Sacred Echo,Ana Silva,"Isabella Torres, Priya Rahman, Olivia Nair, Ivan Smith","United Kingdom, South Korea, India","September 04, 2017",2016,R,84 min,Action & Adventure,A gripping story about revenge set against the backdrop of a war-torn nation.
s78,TV Show,Rules Doctors,,"Carlos Singh, Arjun Muller",Australia,"June 19, 2019",2007,NC-17,1 Season,"Sci-Fi & Fantasy, Reality TV",Follow the lives of rival gangs as they navigate dangerous secrets.
s79,Movie,Eternal Promise,Fatima Noor,"Isabella Johnson, Arjun Torres, Ivan Silva, Fatima Diallo, Ivan Diallo","Canada, Brazil, Australia","April 08, 2018",2010,TV-14,105 min,"Sci-Fi & Fantasy, Horror Movies, Action & Adventure",A gripping story about family set against the backdrop of a bustling city.
s80,Movie,Midnight Legacy,Sofia Rossi,"Noah Reddy, Wei Brown, Aisha Nair, Rahul Nair, Diego Reddy",Spain,"October 18, 2022",2007,PG-13,70 min,"Romantic Movies, Action & Adventure, International Movies",A gripping story about revenge set against the backdrop of a distant future.
s81,TV Show,Files Court,,"Diego Rahman, Fatima Silva",United Kingdom,"June 24, 2015",2024,TV-Y7,2 Seasons,Sci-Fi & Fantasy,Follow the lives of a medical team as they navigate personal crises.
s82,Movie,Distant Voyage,Wong Kar Lin,"Olivia Chen, Kenji Singh, Meera Diallo","Egypt, Australia, Brazil","February 25, 2016",2020,TV-MA,138 min,"Horror Movies, Music & Musicals",A gripping story about justice set against the backdrop of a distant future.
s83,Movie,Eternal Symphony,Fatima Noor,"Elena Silva, Lucas Singh","Italy, Spain, Brazil","January 15, 2018",2016,TV-MA,179 min,Sci-Fi & Fantasy,A gripping story about family set against the backdrop of the high seas.
s84,Movie,Wild Valley,Yuki Tanaka,"Amara Kobayashi, Kenji Nair, Wei Khan, Diego Khan, Fatima Novak","Spain, France, South Korea","July 20, 2024",2018,PG-13,176 min,Thrillers,A gripping story about justice set against the backdrop of a bustling city.
s85,TV Show,Life Sisters,Miguel Torres,"Amara Kobayashi, Kenji Wilson, Hana Khan, Meera Smith",Japan,"March 27, 2017",2024,NC-17,2 Seasons,"Sci-Fi & Fantasy, Anime Series",Follow the lives of rival gangs as they navigate political intrigue.
s86,Movie,Quiet River,Rajesh Kumar,"Priya Kobayashi, Aisha Novak, Aisha Silva","Mexico, United States, Italy","July 19, 2016",2008,NC-17,123 min,"Kids' TV, Romantic Movies",A gripping story about justice set against the backdrop of the high seas.
s87,Movie,Eternal Signal,Wong Kar Lin,"Elena Smith, Aisha Johnson, Sophia Torres, Fatima Brown",United States,"August 21, 2018",2005,TV-MA,150 min,"Romantic Movies, Music & Musicals",A gripping story about hope set against the backdrop of a bustling city.
s88,TV Show,Life Doctors,Priya Sharma,"Aisha Torres, Meera Johnson","India, Germany","November 01, 2017",2008,TV-G,6 Seasons,"Documentaries, Reality TV",Follow the lives of a group of friends as they navigate political intrigue.
s89,Movie,Rising Kingdom,Michael Brown,"Lucas Rossi, Fatima Garcia, Sophia Silva",Canada,"November 12, 2023",2007,TV-G,178 min,Romantic Movies,A gripping story about revenge set against the backdrop of a forgotten era.
s90,Movie,Frozen Voyage,Aarav Mehta,"Wei Rahman, Meera Johnson","Japan, Spain, India","April 26, 2019",2014,TV-Y7,133 min,"Kids' TV, Thrillers, Music & Musicals",A gripping story about love set against the backdrop of a war-torn nation.
s91,Movie,Broken Promise,Yuki Tanaka,"Olivia Nair, Elena Johnson, Liam Petrov, Sophia Petrov, Noah Silva",South Korea,"December 22, 2020",2016,TV-Y7,156 min,"Comedies, Kids' TV",A gripping story about revenge set against the backdrop of a small town.
s92,Movie,Shadow Path,Laura Muller,"Elena Singh, Ivan Kapoor, Olivia Petrov, Kenji Garcia","India, Brazil, France","October 16, 2016",2022,TV-Y7,104 min,"Reality TV, Comedies",A gripping story about family set against the backdrop of a distant future.
s93,Movie,Last Valley,Aarav Mehta,"Lucas Khan, Carlos Chen, Sophia Brown, Amara Nair",France,"May 14, 2016",2000,TV-MA,72 min,"International Movies, Sci-Fi & Fantasy",A gripping story about justice set against the backdrop of a small town.
s94,Movie,Eternal City,Rajesh Kumar,"Hana Rahman, Liam Petrov, Arjun Rossi, Aisha Torres, Aisha Kobayashi",United States,"January 30, 2018",2015,PG-13,134 min,"Action & Adventure, Anime Series",A gripping story about justice set against the backdrop of the high seas.
s95,TV Show,House Empire,,"Isabella Johnson, Rahul Muller, Liam Petrov, Elena Reddy, Elena Khan","Nigeria, United States","January 04, 2017",2022,PG-13,7 Seasons,International Movies,Follow the lives of a group of detectives as they navigate dangerous secrets.
s96,TV Show,Chronicles Empire,Ana Silva,"Ivan Rossi, Liam Singh, Sophia Kobayashi, Fatima Torres, Olivia Kapoor",France,"March 04, 2016",2016,TV-14,5 Seasons,"Action & Adventure, International Movies",Follow the lives of a royal family as they navigate political intrigue.
s97,Movie,Last Horizon,Nina Petrova,"Ivan Rossi, Elena Wilson, Carlos Reddy, Hana Diallo, Olivia Chen","Nigeria, South Korea, France","July 24, 2023",2016,TV-G,162 min,"Horror Movies, Action & Adventure, Reality TV",A gripping story about revenge set against the backdrop of a bustling city.
s98,Movie,Last Harbor,David Kim,"Lucas Garcia, Ivan Chen","South Korea, Nigeria","February 15, 2018",2012,PG-13,167 min,Dramas,A gripping story about survival set against the backdrop of a forgotten era.
s99,Movie,Endless Fortress,James Cooper,"Liam Diallo, Diego Nair, Liam Kapoor, Ivan Johnson",Germany,"December 22, 2017",2007,TV-PG,128 min,"Music & Musicals, Comedies",A gripping story about ambition set against the backdrop of a distant future.
s100,TV Show,Age Family,Michael Brown,"Priya Kobayashi, Kenji Wilson, Hana Petrov, Wei Nair, Meera Rahman","Nigeria, Mexico","July 04, 2019",2022,TV-MA,3 Seasons,"Music & Musicals, Romantic Movies, Reality TV",Follow the lives of a royal family as they navigate political intrigue.
s101,Movie,Wild Kingdom,Carlos Mendes,"Priya Khan, Sophia Smith, Olivia Torres, Rahul Brown",Mexico,"December 24, 2019",2015,PG,107 min,"Dramas, Reality TV, Romantic Movies",A gripping story about hope set against the backdrop of a distant future.
s102,TV Show,House Family,Sofia Rossi,"Carlos Singh, Fatima Silva",United States,"February 13, 2020",2021,TV-MA,5 Seasons,"Reality TV, Documentaries",Follow the lives of young rebels as they navigate a changing world.
s103,TV Show,Chronicles Brothers,Nina Petrova,"Olivia Smith, Lucas Silva, Kenji Smith",Germany,"August 31, 2018",2022,TV-Y7,5 Seasons,Thrillers,Follow the lives of a group of friends as they navigate dangerous secrets.
s104,TV Show,The Republic,Aarav Mehta,"Elena Garcia, Sophia Wilson, Olivia Chen","Spain, France","November 15, 2016",2005,TV-14,6 Seasons,Thrillers,Follow the lives of young rebels as they navigate dangerous secrets.
s105,TV Show,World Brothers,Rajesh Kumar,"Elena Kobayashi, Priya Smith","Italy, United States","January 19, 2019",2020,PG,4 Seasons,"International Movies, Stand-Up Comedy",Follow the lives of rival gangs as they navigate dangerous secrets.
s106,Movie,Broken Valley,Aarav Mehta,"Wei Brown, Priya Garcia, Aisha Kapoor",Spain,"September 03, 2019",2018,TV-PG,135 min,Kids' TV,A gripping story about revenge set against the backdrop of a small town.
s107,TV Show,Age Republic,Grace Lee,"Fatima Diallo, Rahul Chen, Fatima Khan, Hana Reddy","Italy, Spain, Australia","January 01, 2019",2008,PG-13,3 Seasons,"International Movies, Thrillers",Follow the lives of a group of friends as they navigate a changing world.
s108,TV Show,Life Doctors,,"Isabella Chen, Carlos Silva, Priya Brown","Nigeria, United Kingdom, Germany","January 31, 2021",2022,PG,6 Seasons,Anime Series,Follow the lives of young rebels as they navigate high-stakes competition.
s109,Movie,Hidden Journey,Rajesh Kumar,"Noah Kobayashi, Liam Petrov","Nigeria, United States, United Kingdom","September 03, 2016",2001,TV-Y,175 min,"Comedies, Documentaries",A gripping story about betrayal set against the backdrop of the high seas.
s110,Movie,Sacred Legacy,Rajesh Kumar,"Rahul Kobayashi, Noah Wilson, Aisha Singh","Australia, Egypt, Nigeria","September 15, 2016",2016,TV-G,119 min,Action & Adventure,A gripping story about revenge set against the backdrop of a small town.
s111,Movie,Silent Fortress,Tom Wilson,"Wei Novak, Olivia Rossi","Spain, South Korea, Italy","September 15, 2021",2004,PG,166 min,"Thrillers, Action & Adventure",A gripping story about ambition set against the backdrop of a forgotten era.
s112,Movie,Sacred Garden,Carlos Mendes,"Rahul Muller, Amara Singh, Rahul Johnson, Diego Smith, Olivia Wilson","Egypt, Germany","April 01, 2024",2008,TV-MA,122 min,"International Movies, Dramas, Documentaries",A gripping story about revenge set against the backdrop of the high seas.
s113,TV Show,Case Republic,,"Kenji Reddy, Carlos Kobayashi, Amara Petrov, Wei Petrov, Olivia Reddy","Australia, South Korea","August 27, 2022",2017,TV-MA,2 Seasons,Comedies,Follow the lives of a group of friends as they navigate dangerous secrets.
s114,Movie,Frozen Valley,Yuki Tanaka,"Elena Kobayashi, Elena Muller, Amara Nair, Aisha Diallo, Aisha Kobayashi",Japan,"October 08, 2018",2007,TV-Y7,166 min,"Stand-Up Comedy, Horror Movies",A gripping story about survival set against the backdrop of the high seas.
s115,TV Show,Files Family,,"Priya Khan, Aisha Rahman",United States,"February 19, 2016",2020,PG,6 Seasons,"Documentaries, International Movies",Follow the lives of a group of friends as they navigate high-stakes competition.
s116,Movie,Burning Horizon,Grace Lee,"Liam Khan, Wei Torres",United States,"December 01, 2017",2016,TV-Y7,154 min,"Documentaries, Horror Movies",A gripping story about revenge set against the backdrop of a distant future.
